"Category","URL","Name","Status","Expected","Redirect","TimeMs","ContentType","BodyLength"
"Admin","https://nekotab.app/dc-2026/admin/printing/round/1/scoresheets/","Print scoresheets","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","254","","0"
"Admin","https://nekotab.app/dc-2026/admin/printing/round/1/feedback/","Print feedback","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","254","","0"
"Admin","https://nekotab.app/dc-2026/admin/printing/urls_sheets/teams/","Print team URLs","404","200 or 302",,"322","","0"
"Admin","https://nekotab.app/dc-2026/admin/printing/urls_sheets/adjudicators/","Print adj URLs","404","200 or 302",,"561","","0"
"Admin","https://nekotab.app/dc-2026/admin/users/","Admin user management","404","200 or 302",,"285","","0"
"Admin","https://nekotab.app/dc-2026/admin/notifications/","Admin notifications","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","254","","0"
"Admin","https://nekotab.app/dc-2026/admin/registration/institutions/","Reg institutions","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","259","","0"
"Admin","https://nekotab.app/dc-2026/admin/registration/teams/","Reg teams","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","251","","0"
"Admin","https://nekotab.app/dc-2026/admin/registration/adjudicators/","Reg adjudicators","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","252","","0"
"CongressAdmin","https://nekotab.app/dc-2026/admin/congress/","Congress dashboard","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","255","","0"
"CongressAdmin","https://nekotab.app/dc-2026/admin/congress/setup/","Congress setup wizard","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","501","","0"
"CongressAdmin","https://nekotab.app/dc-2026/admin/congress/docket/","Docket manager","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","280","","0"
"CongressAdmin","https://nekotab.app/dc-2026/admin/congress/chambers/","Chamber manager","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","263","","0"
"CongressAdmin","https://nekotab.app/dc-2026/admin/congress/session/1/","Session view","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","261","","0"
"CongressAdmin","https://nekotab.app/dc-2026/admin/congress/session/1/scorer/","Scorer view","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","252","","0"
"CongressAdmin","https://nekotab.app/dc-2026/admin/congress/standings/","Admin standings","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","255","","0"
"CongressAdmin","https://nekotab.app/dc-2026/admin/congress/session/1/po/","PO view","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","254","","0"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/","IE dashboard","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","254","","0"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/setup/","IE setup wizard","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","262","","0"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/prep/","Tournament prep","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","269","","0"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/prep/all/","All prep data","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","276","","0"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/prep/institutions/","Prep institutions","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","266","","0"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/prep/speakers/","Prep speakers","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","266","","0"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/prep/judges/","Prep judges","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","266","","0"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/1/entries/","Entry manager","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","255","","0"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/1/draw/1/","Room draw","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","273","","0"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/1/standings/","IE standings","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","265","","0"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/1/finalists/","Finalists","TIMEOUT/ERROR","200 or 302","Operation is not valid due to the current state of the object.","275","","0"
