"Category","URL","Name","Status","Expected","Redirect","TimeMs","ContentType"
"CongressAdmin","https://nekotab.app/dc-2026/admin/congress/","Congress dashboard","301","200 or 302","https://dc-2026.nekotab.app/admin/congress/","234","text/html; charset=utf-8"
"CongressAdmin","https://nekotab.app/dc-2026/admin/congress/setup/","Congress setup wizard","301","200 or 302","https://dc-2026.nekotab.app/admin/congress/setup/","235","text/html; charset=utf-8"
"CongressAdmin","https://nekotab.app/dc-2026/admin/congress/docket/","Docket manager","301","200 or 302","https://dc-2026.nekotab.app/admin/congress/docket/","238","text/html; charset=utf-8"
"CongressAdmin","https://nekotab.app/dc-2026/admin/congress/chambers/","Chamber manager","301","200 or 302","https://dc-2026.nekotab.app/admin/congress/chambers/","236","text/html; charset=utf-8"
"CongressAdmin","https://nekotab.app/dc-2026/admin/congress/session/1/","Session view","301","200 or 302","https://dc-2026.nekotab.app/admin/congress/session/1/","239","text/html; charset=utf-8"
"CongressAdmin","https://nekotab.app/dc-2026/admin/congress/session/1/scorer/","Scorer view","301","200 or 302","https://dc-2026.nekotab.app/admin/congress/session/1/scorer/","237","text/html; charset=utf-8"
"CongressAdmin","https://nekotab.app/dc-2026/admin/congress/standings/","Admin standings","301","200 or 302","https://dc-2026.nekotab.app/admin/congress/standings/","234","text/html; charset=utf-8"
"CongressAdmin","https://nekotab.app/dc-2026/admin/congress/session/1/po/","PO view","301","200 or 302","https://dc-2026.nekotab.app/admin/congress/session/1/po/","235","text/html; charset=utf-8"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/","IE dashboard","301","200 or 302","https://dc-2026.nekotab.app/admin/ie/","237","text/html; charset=utf-8"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/setup/","IE setup wizard","301","200 or 302","https://dc-2026.nekotab.app/admin/ie/setup/","237","text/html; charset=utf-8"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/prep/","Tournament prep","301","200 or 302","https://dc-2026.nekotab.app/admin/ie/prep/","237","text/html; charset=utf-8"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/prep/all/","All prep data","301","200 or 302","https://dc-2026.nekotab.app/admin/ie/prep/all/","238","text/html; charset=utf-8"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/prep/institutions/","Prep institutions","301","200 or 302","https://dc-2026.nekotab.app/admin/ie/prep/institutions/","238","text/html; charset=utf-8"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/prep/speakers/","Prep speakers","301","200 or 302","https://dc-2026.nekotab.app/admin/ie/prep/speakers/","236","text/html; charset=utf-8"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/prep/judges/","Prep judges","301","200 or 302","https://dc-2026.nekotab.app/admin/ie/prep/judges/","238","text/html; charset=utf-8"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/1/entries/","Entry manager","301","200 or 302","https://dc-2026.nekotab.app/admin/ie/1/entries/","234","text/html; charset=utf-8"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/1/draw/1/","Room draw","301","200 or 302","https://dc-2026.nekotab.app/admin/ie/1/draw/1/","234","text/html; charset=utf-8"
"IEAdmin","https://nekotab.app/dc-2026/admin/ie/1/standings/","IE standings","301","200 or 302","https://dc-2026.nekotab.app/admin/ie/1/standings/","235","text/html; charset=utf-8"
